iter	Logloss
0	0.5681766202
1	0.4663869104
2	0.3908589479
3	0.3351028558
4	0.2919128668
5	0.263107375
6	0.2393460838
7	0.2223647891
8	0.2066654395
9	0.1957630323
10	0.1880981071
11	0.1815125928
12	0.1745486804
13	0.1690331855
14	0.1657055627
15	0.1620684074
16	0.1602202603
17	0.1578438544
18	0.1557350503
19	0.1541120316
20	0.1528240156
21	0.1520018792
22	0.1512763081
23	0.1504592783
24	0.1498228539
25	0.149200887
26	0.1486499547
27	0.1482308945
28	0.1477176701
29	0.1472955538
30	0.1470203854
31	0.1467543874
32	0.1465385972
33	0.1462877957
34	0.146070372
35	0.1459037156
36	0.145767696
37	0.1456376703
38	0.1454782307
39	0.1453725529
40	0.1452481065
41	0.1451130952
42	0.1449672565
43	0.1448789549
44	0.1447328797
45	0.1446385101
46	0.1445355518
47	0.1444028421
48	0.1442892226
49	0.1442456074
50	0.1441075743
51	0.1439861596
52	0.1439300144
53	0.1438721929
54	0.1437760266
55	0.1437038503
56	0.1436451436
57	0.143595835
58	0.1435167622
59	0.1434755037
60	0.1434319335
61	0.143343953
62	0.1432576584
63	0.1432196414
64	0.1431591271
65	0.1431256177
66	0.1430714083
67	0.1430245482
68	0.1429886507
69	0.1429263918
70	0.1428561321
71	0.1427768171
72	0.1427062262
73	0.1426561117
74	0.1426093537
75	0.1425610899
76	0.1425228711
77	0.1424933273
78	0.1424549676
79	0.1424066184
80	0.1423697339
81	0.1423373084
82	0.1423039835
83	0.1422470819
84	0.1422071231
85	0.1421625507
86	0.1421381824
87	0.1421115623
88	0.1420901669
89	0.1420434857
90	0.1420156821
91	0.1419741519
92	0.1419349932
93	0.1418857329
94	0.1418481637
95	0.1418129501
96	0.1417763557
97	0.1417325885
98	0.1416908545
99	0.1416498069
100	0.1416020698
101	0.1415654747
102	0.1415305941
103	0.1414930539
104	0.1414429998
105	0.1414078564
106	0.1413613433
107	0.1413331495
108	0.1412944371
109	0.1412605499
110	0.1412171204
111	0.1411664814
112	0.1411399552
113	0.1411030348
114	0.1410727951
115	0.1410506939
116	0.141029551
117	0.1409927566
118	0.140966491
119	0.1409168186
120	0.140887877
121	0.1408585089
122	0.1408347564
123	0.1407955371
124	0.1407594401
125	0.1407334381
126	0.1407018421
127	0.1406633954
128	0.1406312775
129	0.1406041513
130	0.1405708685
131	0.1405365439
132	0.1405159677
133	0.1404908145
134	0.140467851
135	0.1404243677
136	0.1404024575
137	0.1403820044
138	0.1403518828
139	0.1403178614
140	0.1402899393
